loggingTime(txt),loggingSample(N),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),locationHeadingTimestamp_since1970(s),locationHeadingX(µT),locationHeadingY(µT),locationHeadingZ(µT),locationTrueHeading(°),locationMagneticHeading(°),locationHeadingAccuracy(°),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroTimestamp_sinceReboot(s),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),magnetometerTimestamp_sinceReboot(s),magnetometerX(µT),magnetometerY(µT),magnetometerZ(µT),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),IP_Timestamp_since1970(s),IP_en0(txt),IP_pdp_ip0(txt),deviceID(txt),deviceOrientationTimeStamp_since1970(s),deviceOrientation(Z),batteryTimeStamp_since1970(s),batteryState(R),batteryLevel(Z),label(N),normalizedLocationAltitude(m)
2024-07-07T20:02:32.071+02:00,41294,1720375352.000309,40.48039159605467,-4.071648507117906,771.8782,0.0,1.251929,-1.0,-1.0,3.369918050015154,4.740062169314966,-9999,1720375352.066872,-16.42972755432129,19.5650634765625,-37.44383239746094,45.54701614379883,45.23457336425781,20.43402671813965,1927232.317292625,0.0515289306640625,0.040740966796875,-1.000808715820312,1927232.286089625,-0.0013582120882347,0.0128641333431005,-0.0044725127518177,1927232.295513625,7.340362548828125,17.23599243164062,-144.9922790527344,1927232.289834625,-1.909479762604797,0.0502780597804634,-0.0402715785424391,-0.0002040255349129,0.0180341564118862,-0.0044762920588254,0.002640388906002,-0.0004046969115734,-0.0019818544387817,XArbitraryCorrectedZVertical,0.0088808125781864,0.0309491773408178,-0.8160326534236492,0.5771084856258076,0.0502161309123039,0.0402606949210166,-0.9979265332221984,-16.25995063781738,19.48619842529297,-37.29811096191406,-1,1,1927223.0789945,stationary,2,2024-07-07T20:02:22.123+02:00,2024-07-04T15:01:54.251+02:00,22860,0.8407643,0.0,0.0,17658.85,20,18,2024-07-07T19:59:01.472+02:00,1927229.344955,0,162.9703,92.47117,1720373026.500783,0.0.0.0,10.214.108.195,iphone Senen,1720374095.618023,3,1720373026.475875,1,0.85,0,0.0
2024-07-07T20:02:32.131+02:00,41295,1720375352.000309,40.48039159605467,-4.071648507117906,771.8782,0.0,1.251929,-1.0,-1.0,3.369918050015154,4.740062169314966,-9999,1720375352.126174,-16.38644981384277,19.5208740234375,-37.38130187988281,45.56326293945312,45.25082015991211,20.43404006958008,1927232.377199625,0.0494384765625,0.0402679443359375,-0.995452880859375,1927232.345997625,-0.0009313074406236,0.0188157651573419,0.0023896545171737,1927232.356043625,7.653732299804688,17.12809753417969,-144.8356170654297,1927232.349741625,-1.909795451538583,0.0513082802463138,-0.0401807315670624,-0.000305262801703,0.0182978268712759,-0.00181879196316,-0.001241248100996,0.0018680840730667,-0.0007792711257934,XArbitraryCorrectedZVertical,0.0093323342786356,0.0312079342270423,-0.8161191358634413,0.5769651928314328,0.0512443780899047,0.040169920772314,-0.9978779554367064,-16.41350173950195,19.37287521362305,-37.44039916992188,-1,1,1927223.0789945,stationary,2,2024-07-07T20:02:22.123+02:00,2024-07-04T15:01:54.251+02:00,22860,0.8407643,0.0,0.0,17658.85,20,18,2024-07-07T19:59:01.472+02:00,1927229.344955,0,162.9703,92.47117,1720373026.500783,0.0.0.0,10.214.108.195,iphone Senen,1720374095.618023,3,1720373026.475875,1,0.85,0,0.0
2024-07-07T20:02:32.191+02:00,41296,1720375352.000309,40.48039159605467,-4.071648507117906,771.8782,0.0,1.251929,-1.0,-1.0,3.369918050015154,4.740062169314966,-9999,1720375352.186049,-16.48446083068848,19.46035766601562,-37.2147216796875,45.58590698242188,45.27346420288086,20.43405151367188,1927232.437107625,0.0517120361328125,0.04010009765625,-0.997100830078125,1927232.405905625,-0.0031790153589099,0.0027292075101286,-0.0028067054226994,1927232.416568625,7.480575561523438,17.21923828125,-144.8590087890625,1927232.409649625,-1.910080668835697,0.0518793537162028,-0.0402669553080277,-0.0011745558585971,0.0033399313688278,-0.0033488466870039,0.0011187642812728,-0.0009341351687908,-0.0016971826553344,XArbitraryCorrectedZVertical,0.0095449387729155,0.0314064775915552,-0.8161986164040127,0.5768383037275422,0.0518140494823455,0.0402560755610466,-0.9978450536727904,-16.40175437927246,19.46834945678711,-37.3856201171875,-1,1,1927223.0789945,stationary,2,2024-07-07T20:02:22.123+02:00,2024-07-04T15:01:54.251+02:00,22860,0.8407643,0.0,0.0,17658.85,20,18,2024-07-07T19:59:01.472+02:00,1927229.344955,0,162.9703,92.47117,1720373026.500783,0.0.0.0,10.214.108.195,iphone Senen,1720374095.618023,3,1720373026.475875,1,0.85,0,0.0
2024-07-07T20:02:32.251+02:00,41297,1720375352.000309,40.48039159605467,-4.071648507117906,771.8782,0.0,1.251929,-1.0,-1.0,3.369918050015154,4.740062169314966,-9999,1720375352.24593,-16.52863502502441,19.61352920532227,-37.353271484375,45.59495162963867,45.28250885009766,20.43406295776367,1927232.497015625,0.0528411865234375,0.039031982421875,-1.003280639648438,1927232.465813625,-0.0035657063126564,-0.0145041076466441,0.0011744539951905,1927232.477093625,7.500732421875,17.2105712890625,-144.8266296386719,1927232.469557625,-1.910355120349714,0.0515208926858614,-0.0402475278150301,-0.000923209125176,-0.0156513135880231,-0.0014403953682631,-0.0001562722027301,-0.001052051782608,-0.0015100240707397,XArbitraryCorrectedZVertical,0.0094085554675485,0.0312938759062228,-0.8162794892511739,0.5767322806385892,0.0514563992619514,0.0402366630733013,-0.9978643655776978,-16.46235847473145,19.67676544189453,-37.34309387207031,-1,1,1927223.0789945,stationary,2,2024-07-07T20:02:22.123+02:00,2024-07-04T15:01:54.251+02:00,22860,0.8407643,0.0,0.0,17658.85,20,18,2024-07-07T19:59:01.472+02:00,1927229.344955,0,162.9703,92.47117,1720373026.500783,0.0.0.0,10.214.108.195,iphone Senen,1720374095.618023,3,1720373026.475875,1,0.85,0,0.0
2024-07-07T20:02:32.311+02:00,41298,1720375352.000309,40.48039159605467,-4.071648507117906,771.8782,0.0,1.251929,-1.0,-1.0,3.369918050015154,4.740062169314966,-9999,1720375352.305878,-16.64372444152832,19.57858276367188,-37.48674011230469,45.58982086181641,45.27737808227539,20.43407440185547,1927232.556923625,0.04669189453125,0.039764404296875,-0.9962921142578124,1927232.525721625,-0.0033955303952097,-0.0242680553346872,0.003295661881566,1927232.537619625,7.2843017578125,17.03414916992188,-144.7493438720703,1927232.529465625,-1.91024869512945,0.0502409464604165,-0.040176843186392,-0.0007643110584467,-0.0253579635173082,0.0044890940189361,0.0022194720804691,0.000803854316473,0.0053022503852844,XArbitraryCorrectedZVertical,0.008904924320487,0.0308964207835114,-0.8162547280283086,0.5767968051473555,0.0501792877912521,0.0401660352945327,-0.9979322552680968,-16.42925643920898,19.57099533081055,-37.28474426269531,-1,1,1927223.0789945,stationary,2,2024-07-07T20:02:22.123+02:00,2024-07-04T15:01:54.251+02:00,22860,0.8407643,0.0,0.0,17658.85,20,18,2024-07-07T19:59:01.472+02:00,1927229.344955,0,162.9703,92.47117,1720373026.500783,0.0.0.0,10.214.108.195,iphone Senen,1720374095.618023,3,1720373026.475875,1,0.85,0,0.0
2024-07-07T20:02:32.371+02:00,41299,1720375352.000309,40.48039159605467,-4.071648507117906,771.8782,0.0,1.251929,-1.0,-1.0,3.369918050015154,4.740062169314966,-9999,1720375352.365841,-16.70518493652344,19.63924789428711,-37.20411682128906,45.60243225097656,45.28998947143555,20.4340877532959,1927232.616831625,0.0482025146484375,0.0381927490234375,-0.9965972900390624,1927232.585629625,0.004953745752573,-0.0239705797284841,0.0018192053539678,1927232.598143625,7.159317016601562,17.14888000488281,-144.5741729736328,1927232.589373625,-1.910392502429358,0.0488586182877924,-0.0402212940556577,0.0024047766346484,-0.0221296492964029,0.0027746800333261,0.0001505874097347,-0.0005833394825458,-0.0088065266609191,XArbitraryCorrectedZVertical,0.0083301154589112,0.0305152841904096,-0.8163020900456062,0.5767585289570499,0.0487996824085712,0.0402104519307613,-0.997998833656311,-16.57614517211914,19.57767868041992,-37.21064758300781,-1,1,1927223.0789945,stationary,2,2024-07-07T20:02:22.123+02:00,2024-07-04T15:01:54.251+02:00,22860,0.8407643,0.0,0.0,17658.85,20,18,2024-07-07T19:59:01.472+02:00,1927229.344955,0,162.9703,92.47117,1720373026.500783,0.0.0.0,10.214.108.195,iphone Senen,1720374095.618023,3,1720373026.475875,1,0.85,0,0.0
2024-07-07T20:02:32.430+02:00,41300,1720375352.000309,40.48039159605467,-4.071648507117906,771.8782,0.0,1.251929,-1.0,-1.0,3.369918050015154,4.740062169314966,-9999,1720375352.42571,-16.65919876098633,19.6524543762207,-37.36798095703125,45.61628341674805,45.30384063720703,20.4340991973877,1927232.676739625,0.0480499267578125,0.03948974609375,-1.001708984375,1927232.645537625,-0.0017723336350172,-0.0119940787553787,0.0018002968281507,1927232.658664625,7.273483276367188,17.23020935058594,-144.6556243896484,1927232.649281625,-1.910702217204144,0.0478908130151119,-0.0401136881704405,-0.0028902753256261,-0.0075630038045346,-0.0012867008335888,-0.0010962523519992,0.0003176406025886,0.003070056438446,XArbitraryCorrectedZVertical,0.0079708515925039,0.0301910606675996,-0.816395486560924,0.5766485588370087,0.0478339977562427,0.0401029326021671,-0.9980499148368835,-16.69145774841309,19.55232620239258,-37.31492614746094,-1,1,1927223.0789945,stationary,2,2024-07-07T20:02:22.123+02:00,2024-07-04T15:01:54.251+02:00,22860,0.8407643,0.0,0.0,17658.85,20,18,2024-07-07T19:59:01.472+02:00,1927229.344955,0,162.9703,92.47117,1720373026.500783,0.0.0.0,10.214.108.195,iphone Senen,1720374095.618023,3,1720373026.475875,1,0.85,0,0.0
2024-07-07T20:02:32.490+02:00,41301,1720375352.000309,40.48039159605467,-4.071648507117906,771.8782,0.0,1.251929,-1.0,-1.0,3.369918050015154,4.740062169314966,-9999,1720375352.485487,-16.62991333007812,19.5792121887207,-37.19615173339844,45.61601257324219,45.30356979370117,20.43411064147949,1927232.736647625,0.0462646484375,0.0396728515625,-1.000869750976562,1927232.705444625,-0.0035950010642409,0.0129746543243527,8.096009696600959e-05,1927232.719189625,7.418197631835938,17.05406188964844,-144.6885833740234,1927232.709189625,-1.910712557042714,0.048170712756357,-0.0401654065047218,-0.0035523190163075,0.0188648663461208,-0.0008854612824507,-0.0016501620411872,0.0019902065396308,0.0006284117698669,XArbitraryCorrectedZVertical,0.0080703329696419,0.0302928188283863,-0.816397262517126,0.5766392124001731,0.0481132492423057,0.040154606103897,-0.998034417629242,-16.60528373718262,19.65983963012695,-37.07513427734375,-1,1,1927223.0789945,stationary,2,2024-07-07T20:02:22.123+02:00,2024-07-04T15:01:54.251+02:00,22860,0.8407643,0.0,0.0,17658.85,20,18,2024-07-07T19:59:01.472+02:00,1927229.344955,0,162.9703,92.47117,1720373026.500783,0.0.0.0,10.214.108.195,iphone Senen,1720374095.618023,3,1720373026.475875,1,0.85,0,0.0
2024-07-07T20:02:32.550+02:00,41302,1720375352.000309,40.48039159605467,-4.071648507117906,771.8782,0.0,1.251929,-1.0,-1.0,3.369918050015154,4.740062169314966,-9999,1720375352.545513,-16.52600860595703,19.76189041137695,-37.0440673828125,45.60936737060547,45.29692459106445,20.43412399291992,1927232.796554625,0.049835205078125,0.0409088134765625,-0.99273681640625,1927232.765352625,0.0060610882937908,0.0235814917832613,0.000205596035812,1927232.779707625,7.509445190429688,17.25746154785156,-144.3890686035156,1927232.769097625,-1.910640710300845,0.0495891349667697,-0.0401908480117349,0.0057700765319168,0.0260066669434309,-0.0030117291025817,-0.003203023225069,-0.0005529150366783,-0.0096652507781982,XArbitraryCorrectedZVertical,0.0086408771084184,0.0307124564466642,-0.8163706150983101,0.5766466173025765,0.0495287850499153,0.0401800274848938,-0.9979641437530518,-16.49415016174316,19.78569793701172,-36.91197204589844,-1,1,1927223.0789945,stationary,2,2024-07-07T20:02:22.123+02:00,2024-07-04T15:01:54.251+02:00,22860,0.8407643,0.0,0.0,17658.85,20,18,2024-07-07T19:59:01.472+02:00,1927229.344955,0,162.9703,92.47117,1720373026.500783,0.0.0.0,10.214.108.195,iphone Senen,1720374095.618023,3,1720373026.475875,1,0.85,0,0.0
2024-07-07T20:02:32.610+02:00,41303,1720375352.000309,40.48039159605467,-4.071648507117906,771.8782,0.0,1.251929,-1.0,-1.0,3.369918050015154,4.740062169314966,-9999,1720375352.605354,-16.31124114990234,19.73352813720703,-37.39311218261719,45.60885238647461,45.29640960693359,20.43413734436035,1927232.856462625,0.0496368408203125,0.0407257080078125,-1.004425048828125,1927232.825260625,-0.0019819245208054,0.016702014952898,-0.0041103227995336,1927232.840223625,7.660781860351562,17.15530395507812,-144.8555908203125,1927232.829004625,-1.910700216916129,0.0508078309283905,-0.0401395654407647,-0.0013264487497508,0.018104001879692,-0.0019627099391072,0.0005397982895374,-0.0010509900748729,0.0045732259750366,XArbitraryCorrectedZVertical,0.009154060305764,0.0310426396013414,-0.8163823939293763,0.5766043105811453,0.050745066255331,0.0401287861168384,-0.997905135154724,-16.54693031311035,19.80237579345703,-37.15731811523438,-1,1,1927223.0789945,stationary,2,2024-07-07T20:02:22.123+02:00,2024-07-04T15:01:54.251+02:00,22860,0.8407643,0.0,0.0,17658.85,20,18,2024-07-07T19:59:01.472+02:00,1927229.344955,0,162.9703,92.47117,1720373026.500783,0.0.0.0,10.214.108.195,iphone Senen,1720374095.618023,3,1720373026.475875,1,0.85,0,0.0
