loggingTime(txt),loggingSample(N),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),locationHeadingTimestamp_since1970(s),locationHeadingX(µT),locationHeadingY(µT),locationHeadingZ(µT),locationTrueHeading(°),locationMagneticHeading(°),locationHeadingAccuracy(°),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroTimestamp_sinceReboot(s),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),magnetometerTimestamp_sinceReboot(s),magnetometerX(µT),magnetometerY(µT),magnetometerZ(µT),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),IP_Timestamp_since1970(s),IP_en0(txt),IP_pdp_ip0(txt),deviceID(txt),deviceOrientationTimeStamp_since1970(s),deviceOrientation(Z),batteryTimeStamp_since1970(s),batteryState(R),batteryLevel(Z),label(N),normalizedLocationAltitude(m)
2024-06-25T20:19:45.072+02:00,47628,1719339585.000681,40.48036930924352,-4.071631054514875,769.0786,0.0,1.317288,156.6923277921374,180.0,3.370728686958844,4.73948574759979,-9999,1719339585.065118,-15.17539691925049,21.08666229248047,-35.43471527099609,41.82225799560547,41.51515960693359,12.04769802093506,1029583.553954792,0.031005859375,0.0829315185546875,-0.996673583984375,1029583.553954792,-0.00229750899598,0.0087442230433225,0.0019438412273302,1029583.537711792,9.159866333007812,23.407958984375,-143.4623107910156,1029583.551457792,-1.209918874558528,0.0316266523337051,-0.0829787616645839,0.0008927934104576,0.0100317820906639,-9.832397336140276e-05,-0.0017731189727783,0.0007192939519882,-0.0008873343467712,XArbitraryCorrectedZVertical,0.025126625489384,-0.0365816109986964,0.5687077215535666,-0.82134149847841,0.031512577086687,0.0828835666179657,-0.996060848236084,-15.17539691925049,21.08666229248047,-35.43471527099609,-1,2,1029499.671203875,stationary,2,2024-06-25T20:18:20.387+02:00,2024-06-23T14:58:42.261+02:00,12916,0.8439061,0.0,0.0,10229.28,20,21,2024-06-25T20:17:12.969+02:00,1029579.949623,0,175.5478,92.07455,1719336731.757089,0.0.0.0,10.206.171.234,iphone Senen,1719338624.801324,5,1719336731.748566,1,0.6,0,0.0
2024-06-25T20:19:45.125+02:00,47629,1719339585.000681,40.48036930924352,-4.071631054514875,769.0786,0.0,1.317288,156.6923277921374,180.0,3.370728686958844,4.73948574759979,-9999,1719339585.104975,-15.05029201507568,21.16194534301758,-35.62903594970703,41.82401275634766,41.51691436767578,12.0477180480957,1029583.613863792,0.0328216552734375,0.08251953125,-1.0006103515625,1029583.613863792,-0.0009550095419399,0.0222642924636602,-0.0009717874927446,1029583.598225792,9.3525390625,23.35633850097656,-143.8148193359375,1029583.611366792,-1.209985370879473,0.032549912859491,-0.0829736557107954,-0.0001461709907744,0.0216935165226459,-0.0010484281228855,-0.0013194493949413,-0.000252179801464,-0.0045785307884216,XArbitraryCorrectedZVertical,0.0248607630484482,-0.0369601371562765,0.5687465815126379,-0.8213058054604117,0.0324322022497654,0.082878477871418,-0.9960317611694336,-14.86711692810059,21.05889511108398,-35.51508331298828,-1,2,1029499.671203875,stationary,2,2024-06-25T20:18:20.387+02:00,2024-06-23T14:58:42.261+02:00,12916,0.8439061,0.0,0.0,10229.28,20,21,2024-06-25T20:17:12.969+02:00,1029579.949623,0,175.5478,92.07455,1719336731.757089,0.0.0.0,10.206.171.234,iphone Senen,1719338624.801324,5,1719336731.748566,1,0.6,0,0.0
2024-06-25T20:19:45.185+02:00,47630,1719339585.000681,40.48036930924352,-4.071631054514875,769.0786,0.0,1.317288,156.6923277921374,180.0,3.370728686958844,4.73948574759979,-9999,1719339585.164914,-14.96999073028564,21.06212615966797,-35.66678619384766,41.83310699462891,41.52600860595703,12.04774570465088,1029583.673773,0.0340576171875,0.0798187255859375,-0.998046875,1029583.673773,6.924218905624002e-05,0.0309302192181348,-0.0010013486025854,1029583.658737,9.407089233398438,23.43861389160156,-143.8447875976562,1029583.671277,-1.210128004740713,0.0341208807354852,-0.0828735755091713,0.0035453171003609,0.031060591340065,-0.0005539212143048,-0.0008397474884986,-0.001281589269638,-0.0027151107788085,XArbitraryCorrectedZVertical,0.0243701970543388,-0.0375785838341298,0.5688249828610452,-0.8212381367449941,0.0339971780776977,0.0827787443995475,-0.9959878921508788,-14.98233127593994,21.1291618347168,-35.40096282958984,-1,2,1029499.671203875,stationary,2,2024-06-25T20:18:20.387+02:00,2024-06-23T14:58:42.261+02:00,12916,0.8439061,0.0,0.0,10229.28,20,21,2024-06-25T20:17:12.969+02:00,1029579.949623,0,175.5478,92.07455,1719336731.757089,0.0.0.0,10.206.171.234,iphone Senen,1719338624.801324,5,1719336731.748566,1,0.6,0,0.0
2024-06-25T20:19:45.244+02:00,47631,1719339585.000681,40.48036930924352,-4.071631054514875,769.0786,0.0,1.317288,156.6923277921374,180.0,3.370728686958844,4.73948574759979,-9999,1719339585.224825,-14.94609928131104,21.24918365478516,-35.52056121826172,41.83855819702148,41.53145980834961,12.047776222229,1029583.733682,0.0365753173828125,0.0856475830078125,-0.994354248046875,1029583.733682,-0.0033816818613559,0.0212829187512397,0.0023329290561378,1029583.719248,9.208724975585938,23.56257629394531,-143.9438323974609,1029583.731186,-1.210238385581625,0.0357589455194167,-0.0828504661768992,-0.0002147016348317,0.0231805220246315,-0.0008712580893188,-1.459568738937378e-05,0.000603012740612,-0.0006034970283508,XArbitraryCorrectedZVertical,0.0238926936905285,-0.0382459510952638,0.5688901741802087,-0.8211762130827879,0.0356286950409412,0.0827557146549224,-0.9959327578544616,-15.05159950256348,21.30803298950195,-35.70606231689453,-1,2,1029499.671203875,stationary,2,2024-06-25T20:18:20.387+02:00,2024-06-23T14:58:42.261+02:00,12916,0.8439061,0.0,0.0,10229.28,20,21,2024-06-25T20:17:12.969+02:00,1029579.949623,0,175.5478,92.07455,1719336731.757089,0.0.0.0,10.206.171.234,iphone Senen,1719338624.801324,5,1719336731.748566,1,0.6,0,0.0
2024-06-25T20:19:45.311+02:00,47632,1719339585.000681,40.48036930924352,-4.071631054514875,769.0786,0.0,1.317288,156.6923277921374,180.0,3.370728686958844,4.73948574759979,-9999,1719339585.304732,-15.00253391265869,21.19258117675781,-35.90203094482422,41.85694885253906,41.54985046386719,12.04775333404541,1029583.793591,0.04119873046875,0.0818328857421875,-0.99871826171875,1029583.793591,0.001097488682717,-0.0046988814137876,-0.0020394488237798,1029583.779759,9.351531982421877,23.32603454589844,-144.1723022460938,1029583.791095,-1.210513909608747,0.0363505642308923,-0.0829456384364877,-0.0043258215300738,-0.00151507940609,-0.0029396149329841,0.0019294433295726,-0.0018416866660118,-0.0026620030403137,XArbitraryCorrectedZVertical,0.0237582193260886,-0.038519151062318,0.5690099391495461,-0.8210842803906065,0.0362176112830638,0.0828505605459213,-0.9959036707878112,-15.00253391265869,21.19258117675781,-35.90203094482422,-1,2,1029499.671203875,stationary,2,2024-06-25T20:18:20.387+02:00,2024-06-23T14:58:42.261+02:00,12916,0.8439061,0.0,0.0,10229.28,20,21,2024-06-25T20:17:12.969+02:00,1029581.014887,0,175.5557,92.07447,1719336731.757089,0.0.0.0,10.206.171.234,iphone Senen,1719338624.801324,5,1719336731.748566,1,0.6,0,0.0
2024-06-25T20:19:45.364+02:00,47633,1719339585.000681,40.48036930924352,-4.071631054514875,769.0786,0.0,1.317288,156.6923277921374,180.0,3.370728686958844,4.73948574759979,-9999,1719339585.344584,-15.08215045928955,21.20874786376953,-35.75769805908203,41.87558746337891,41.56848907470703,12.0477123260498,1029583.853501,0.0370941162109375,0.08233642578125,-0.9939117431640624,1029583.853501,0.0033603766933083,-0.0172199998050928,0.000557133287657,1029583.84027,9.30908203125,23.5196533203125,-143.994384765625,1029583.851004,-1.21096042444567,0.0357792321502672,-0.0827709767448582,0.0029248197097331,-0.0155635504052043,0.0002526361495256,0.0005295388400554,-0.0015150308609008,-3.30805778503418e-05,XArbitraryCorrectedZVertical,0.0238404485769244,-0.0382403269780463,0.5691871888665082,-0.8209721688501953,0.0356491319835186,0.0826765000820159,-0.9959385991096495,-15.08337306976318,21.19070053100586,-35.87407684326172,-1,2,1029499.671203875,stationary,2,2024-06-25T20:18:20.387+02:00,2024-06-23T14:58:42.261+02:00,12916,0.8439061,0.0,0.0,10229.28,20,21,2024-06-25T20:17:12.969+02:00,1029581.014887,0,175.5557,92.07447,1719336731.757089,0.0.0.0,10.206.171.234,iphone Senen,1719338624.801324,5,1719336731.748566,1,0.6,0,0.0
2024-06-25T20:19:45.424+02:00,47634,1719339585.000681,40.48036930924352,-4.071631054514875,769.0786,0.0,1.317288,156.6923277921374,180.0,3.370728686958844,4.73948574759979,-9999,1719339585.404496,-14.94459533691406,21.21720123291016,-35.71260833740234,41.88777923583984,41.58068084716797,12.0476655960083,1029583.91341,0.0360260009765625,0.082305908203125,-1.000564575195312,1029583.91341,0.000101466437627,-0.0125365648418664,0.0032141690608114,1029583.900784,9.360641479492188,23.175048828125,-143.9721374511719,1029583.910913,-1.211020661031138,0.035017786681968,-0.0828326540796544,-0.0011625452898442,-0.0105929533019661,0.0016745972679927,0.0030123218894004,0.0001935139298439,-0.001796543598175,XArbitraryCorrectedZVertical,0.0240813493608899,-0.0379460062336789,0.5692025263816701,-0.8209680898111529,0.034890592098236,0.0827379673719406,-0.9959603548049928,-15.05887222290039,21.14138412475586,-35.61515045166016,-1,2,1029499.671203875,stationary,2,2024-06-25T20:18:20.387+02:00,2024-06-23T14:58:42.261+02:00,12916,0.8439061,0.0,0.0,10229.28,20,21,2024-06-25T20:17:12.969+02:00,1029581.014887,0,175.5557,92.07447,1719336731.757089,0.0.0.0,10.206.171.234,iphone Senen,1719338624.801324,5,1719336731.748566,1,0.6,0,0.0
2024-06-25T20:19:45.484+02:00,47635,1719339585.000681,40.48036930924352,-4.071631054514875,769.0786,0.0,1.317288,156.6923277921374,180.0,3.370728686958844,4.73948574759979,-9999,1719339585.464457,-15.09526824951172,21.24470138549805,-35.88628387451172,41.88879776000977,41.58169937133789,12.04764938354492,1029583.973319,0.03338623046875,0.080841064453125,-1.000106811523438,1029583.973319,0.0006077333819121,-0.0087724523618817,0.0003094593121204,1029583.961295,9.394393920898438,23.51820373535156,-144.1869354248047,1029583.970822,-1.211151899394104,0.0346399793266188,-0.0828461970978767,-0.0001448984839953,-0.0053697815164923,-0.0011722055496647,-0.0017077885568141,-0.0023376792669296,-0.0025475025177001,XArbitraryCorrectedZVertical,0.0241919576986541,-0.0377963573970757,0.5692517806159477,-0.8209375522885103,0.0345142669975757,0.0827514603734016,-0.9959723949432372,-15.167405128479,21.30127716064453,-36.13027191162109,-1,2,1029499.671203875,stationary,2,2024-06-25T20:18:20.387+02:00,2024-06-23T14:58:42.261+02:00,12916,0.8439061,0.0,0.0,10229.28,20,21,2024-06-25T20:17:12.969+02:00,1029581.014887,0,175.5557,92.07447,1719336731.757089,0.0.0.0,10.206.171.234,iphone Senen,1719338624.801324,5,1719336731.748566,1,0.6,0,0.0
2024-06-25T20:19:45.544+02:00,47636,1719339585.000681,40.48036930924352,-4.071631054514875,769.0786,0.0,1.317288,156.6923277921374,180.0,3.370728686958844,4.73948574759979,-9999,1719339585.524414,-15.1863956451416,21.25704574584961,-35.97472381591797,41.90656661987305,41.59946823120117,12.04758930206299,1029584.033228,0.035675048828125,0.0852508544921875,-0.9935760498046876,1029584.033228,0.0013651363551616,0.0009552759001962,-0.0004423510399647,1029584.021805,9.22784423828125,23.30044555664062,-143.9067687988281,1029584.030732,-1.211437984099547,0.0346719418055541,-0.0827919765031552,-0.0021709254942834,0.0039519118145108,-0.0033387204166501,4.550069570541382e-05,0.0003866478800773,0.0024149417877197,XArbitraryCorrectedZVertical,0.0241551764750242,-0.0377975290631816,0.5693698332416445,-0.8208567680068962,0.0345462560653686,0.0826974287629127,-0.9959757328033448,-15.1311616897583,21.08779907226562,-35.71131134033203,-1,2,1029499.671203875,stationary,2,2024-06-25T20:18:20.387+02:00,2024-06-23T14:58:42.261+02:00,12916,0.8439061,0.0,0.0,10229.28,20,21,2024-06-25T20:17:12.969+02:00,1029581.014887,0,175.5557,92.07447,1719336731.757089,0.0.0.0,10.206.171.234,iphone Senen,1719338624.801324,5,1719336731.748566,1,0.6,0,0.0
2024-06-25T20:19:45.604+02:00,47637,1719339585.000681,40.48036930924352,-4.071631054514875,769.0786,0.0,1.317288,156.6923277921374,180.0,3.370728686958844,4.73948574759979,-9999,1719339585.584289,-15.18990802764893,21.20368576049805,-35.97797393798828,41.92480087280273,41.61770248413086,12.04755783081055,1029584.093137,0.0369110107421875,0.0805206298828125,-1.001312255859375,1029584.093137,0.00281442864798,0.013726464472711,-0.0004708468914031,1029584.082317,9.184112548828123,23.33848571777344,-144.0512847900391,1029584.090641,-1.211805357139396,0.0351254826654547,-0.0828912736043541,0.0032193404622375,0.0130099710077047,5.721807247027755e-05,0.0026305764913558,-0.0015738829970359,-0.0067490339279174,XArbitraryCorrectedZVertical,0.0240598729390158,-0.0380162981701798,0.5695255930327046,-0.8207415096045667,0.0349976792931556,0.0827963799238205,-0.995951771736145,-15.16344738006592,21.09982681274414,-35.81562042236328,-1,2,1029499.671203875,stationary,2,2024-06-25T20:18:20.387+02:00,2024-06-23T14:58:42.261+02:00,12916,0.8439061,0.0,0.0,10229.28,20,21,2024-06-25T20:17:12.969+02:00,1029581.014887,0,175.5557,92.07447,1719336731.757089,0.0.0.0,10.206.171.234,iphone Senen,1719338624.801324,5,1719336731.748566,1,0.6,0,0.0
